New Shipment ID,Old Shipment ID,Original Parcel Type
398,9.18E+14,Parcel
398,9.18E+14,Parcel
398,9.18E+14,Parcel
399,6.82E+11,Parcel
400,FOX0127147,LTL
401,9.18E+14,Parcel
401,9.18E+14,Parcel
402,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
403,6.59E+11,Parcel
404,6.82E+11,Parcel
405,9.18E+14,Parcel
406,9.18E+14,Parcel
406,9.18E+14,Parcel
407,FOX0124247,LTL
408,FOX0124218,LTL
409,FOX0124266,LTL
410,9.18E+14,Parcel
411,9.18E+14,Parcel
412,9.18E+14,Parcel
413,FOX0121520,LTL
414,6.59E+11,Parcel
414,6.59E+11,Parcel
414,6.59E+11,Parcel
415,9.18E+14,Parcel
416,9.18E+14,Parcel
417,FOX0121509,LTL
418,9.18E+14,Parcel
419,FOX0126068,LTL
420,6.59E+11,Parcel
421,6.82E+11,Parcel
422,6.82E+11,Parcel
422,6.82E+11,Parcel
422,6.82E+11,Parcel
422,6.82E+11,Parcel
422,6.82E+11,Parcel
423,6.82E+11,Parcel
424,9.18E+14,Parcel
424,9.18E+14,Parcel
424,9.18E+14,Parcel
424,9.18E+14,Parcel
424,9.18E+14,Parcel
424,9.18E+14,Parcel
425,9.18E+14,Parcel
426,FOX0117268,LTL
427,FOX0122050,LTL
428,FOX0122264,LTL
